login,graph,degree_in,degree_out,betweenness,closeness,pagerank
jx0923,G1,0.0,0.000476,0.0,0.5,0.000288
jxstanford,G1,0.002382,0.0,0.0,0.0,0.001285
jyojyotk,G1,0.000953,0.0,0.0,0.0,0.000779
kPinney,G1,0.0,0.000476,0.0,0.5,0.000288
ka0rukan,G1,0.000953,0.0,0.0,0.0,0.000545
kalmenchia,G1,0.000476,0.0,0.0,0.0,0.000289
kaman1,G1,0.000476,0.0,0.0,0.0,0.000291
kanfil,G1,0.001429,0.000476,6e-06,0.5,0.000448
kant2002,G1,0.0,0.000476,0.0,0.5,0.000288
kassi,G1,0.0,0.000476,0.0,0.5,0.000288
kcaylor,G1,0.000476,0.0,0.0,0.0,0.000291
kd-coder2024,G1,0.0,0.000476,0.0,0.3,0.000288
keithelder,G1,0.000953,0.0,0.0,0.0,0.000534
kenbanks-peng,G1,0.0,0.000476,0.0,0.3,0.000288
kenchou,G1,0.000953,0.000476,3e-06,0.5,0.000768
kengggg,G1,0.000476,0.000476,0.0,0.5,0.000289
kennedy-whytech,G1,0.000953,0.000953,0.0,0.170732,0.000295
kennethcochran,G1,0.000476,0.0,0.0,0.0,0.000458
kenny-kim2,G1,0.0,0.000476,0.0,0.25,0.000288
kenny378ai,G1,0.0,0.000476,0.0,0.5,0.000288
kenryu42,G1,0.0,0.000476,0.0,0.5,0.000288
ketanio,G1,0.0,0.000476,0.0,0.5,0.000288
kevinkaylie,G1,0.0,0.000476,0.0,0.5,0.000288
kevlingo,G1,0.0,0.000476,0.0,0.25,0.000288
kfinkels,G1,0.0,0.0,0.0,0.0,0.000288
khaiyihong,G1,0.0,0.000476,0.0,0.5,0.000288
kidoln,G1,0.0,0.000476,0.0,0.5,0.000288
kierankelleher,G1,0.0,0.000953,0.0,0.375,0.000288
kingtwelve,G1,0.000476,0.0,0.0,0.0,0.000533
kirprong,G1,0.002382,0.0,0.0,0.0,0.001158
kklavei,G1,0.0,0.000476,0.0,0.5,0.000288
klapecm,G1,0.0,0.000476,0.0,0.5,0.000288
kmhalvin,G1,0.0,0.000476,0.0,0.127841,0.000288
knightinair,G1,0.0,0.000476,0.0,0.5,0.000288
kobico,G1,0.0,0.000476,0.0,0.127841,0.000288
koenvercauteren,G1,0.000476,0.0,0.0,0.0,0.000411
konrouda,G1,0.001906,0.0,0.0,0.0,0.000791
kooyear,G1,0.000476,0.0,0.0,0.0,0.000289
korakot,G1,0.0,0.0,0.0,0.0,0.000288
kotvaer,G1,0.003335,0.0,0.0,0.0,0.001374
kreddy-cci,G1,0.000953,0.0,0.0,0.0,0.000418
krisfremen,G1,0.003335,0.000476,0.000482,0.149379,0.001771
kristiantenfen,G1,0.0,0.000476,0.0,0.5,0.000288
kritsanan1,G1,0.0,0.0,0.0,0.0,0.000288
kryltsov,G1,0.0,0.0,0.0,0.0,0.000288
kseikyo,G1,0.0,0.0,0.0,0.0,0.000288
ktfth,G1,0.002859,0.0,0.0,0.0,0.001403
kumaresra,G1,0.000953,0.0,0.0,0.0,0.000558
kurianoff,G1,0.0,0.000476,0.0,0.333333,0.000288
kvcrajan,G1,0.002859,0.000476,5e-06,0.272727,0.001837
ladislav-bihari,G1,0.0,0.000476,0.0,0.5,0.000288
lanmoxueer,G1,0.000953,0.0,0.0,0.0,0.000864
laura-damian,G1,0.0,0.000476,0.0,0.5,0.000288
lauthieb,G1,0.0,0.0,0.0,0.0,0.000288
lazarius-borg,G1,0.0,0.000953,0.0,0.5,0.000288
lazyclaw-labs,G1,0.000953,0.0,0.0,0.0,0.000538
lbe,G1,0.000953,0.0,0.0,0.0,0.000534
lckksk,G1,0.000476,0.0,0.0,0.0,0.000289
lee-b,G1,0.001429,0.0,0.0,0.0,0.000607
lengyue524,G1,0.0,0.000476,0.0,0.5,0.000288
leobbitencourt,G1,0.0,0.0,0.0,0.0,0.000288
leobrines,G1,0.000953,0.0,0.0,0.0,0.000534
leocamello,G1,0.000953,0.0,0.0,0.0,0.000295
leowise,G1,0.0,0.000476,0.0,0.088561,0.000288
leoxiao2012,G1,0.000953,0.0,0.0,0.0,0.000295
lestan,G1,0.0,0.001429,0.0,0.5,0.000288
letto4135,G1,0.000476,0.000476,0.0,0.5,0.000289
letuananh035,G1,0.000476,0.0,0.0,0.0,0.0003
letzdoo-js,G1,0.000476,0.0,0.0,0.0,0.000291
levithomason,G1,0.0,0.000476,0.0,0.5,0.000288
levonk,G1,0.000476,0.0,0.0,0.0,0.000289
lew-at-cs,G1,0.0,0.000476,0.0,0.5,0.000288
lewiesnyder,G1,0.000953,0.0,0.0,0.0,0.000412
lewis617,G1,0.000476,0.0,0.0,0.0,0.000289
lgraf,G1,0.0,0.0,0.0,0.0,0.000288
lihan3238,G1,0.000476,0.0,0.0,0.0,0.000293
limit-breaker-999,G1,0.000953,0.0,0.0,0.0,0.000779
lion1991,G1,0.0,0.000476,0.0,0.333333,0.000288
lisanyambere,G1,0.0,0.000476,0.0,0.5,0.000288
lisovyk,G1,0.0,0.000476,0.0,0.5,0.000288
lispking,G1,0.000476,0.0,0.0,0.0,0.0003
litlmike,G1,0.001906,0.0,0.0,0.0,0.001028
liunice,G1,0.0,0.000476,0.0,0.5,0.000288
liuyiyu,G1,0.000953,0.0,0.0,0.0,0.000295
liuzhihang,G1,0.000476,0.0,0.0,0.0,0.000293
lkeude96,G1,0.0,0.001429,0.0,0.264706,0.000288
lly835,G1,0.000953,0.0,0.0,0.0,0.000596
lm203688,G1,0.000953,0.0,0.0,0.0,0.000293
lmccay,G1,0.0,0.000476,0.0,0.166667,0.000288
lmerz1,G1,0.0,0.000476,0.0,0.5,0.000288
lmtr0,G1,0.0,0.000476,0.0,0.5,0.000288
lnnujxxy,G1,0.0,0.000476,0.0,0.5,0.000288
localden,G1,0.005717,0.115293,0.003302,0.36551,0.003396
lofi-coding,G1,0.000476,0.0,0.0,0.0,0.000289
loganionian,G1,0.001429,0.0,0.0,0.0,0.000418
lonesoac0,G1,0.000476,0.0,0.0,0.0,0.0003
longyoudong,G1,0.0,0.000476,0.0,0.5,0.000288
lonquan,G1,0.0,0.000476,0.0,0.5,0.000288
looper200,G1,0.001906,0.0,0.0,0.0,0.001036
loppety,G1,0.002859,0.0,0.0,0.0,0.001403
lostshin,G1,0.0,0.000476,0.0,0.5,0.000288
lrshu,G1,0.000476,0.0,0.0,0.0,0.000289
lshgdut,G1,0.000953,0.000476,4e-06,0.5,0.000303
luanzhiwow,G1,0.000953,0.0,0.0,0.0,0.000395
lubatti,G1,0.000476,0.0,0.0,0.0,0.000291
lucasmodrich,G1,0.0,0.0,0.0,0.0,0.000288
lucianoperez-cmyk,G1,0.0,0.000476,0.0,0.5,0.000288
lujmo11,G1,0.0,0.000476,0.0,0.5,0.000288
luopanforever,G1,0.001429,0.0,0.0,0.0,0.000642
luoshu1,G1,0.0,0.000476,0.0,0.5,0.000288
lupinsansei,G1,0.0,0.000476,0.0,0.5,0.000288
lutzroeder,G1,0.000476,0.0,0.0,0.0,0.000291
lwyBZss8924d,G1,0.0,0.000476,0.0,0.5,0.000288
lxander42,G1,0.0,0.000476,0.0,0.5,0.000288
lyzno1,G1,0.000476,0.0,0.0,0.0,0.0003
m-da-costa,G1,0.0,0.001429,0.0,0.204545,0.000288
m13v,G1,0.0,0.000476,0.0,0.5,0.000288
m2web,G1,0.000476,0.0,0.0,0.0,0.000533
ma-waheed,G1,0.000953,0.000476,1e-06,0.333333,0.00031
madsd,G1,0.0,0.000476,0.0,0.5,0.000288
maenujem,G1,0.0,0.000953,0.0,0.090074,0.000288
magbareya,G1,0.0,0.000476,0.0,0.090551,0.000288
mahieyin-rahmun,G1,0.0,0.000476,0.0,0.5,0.000288
majordave,G1,0.000953,0.0,0.0,0.0,0.000295
majucamex2005,G1,0.0,0.000476,0.0,0.5,0.000288
mamachanko,G1,0.0,0.000476,0.0,0.5,0.000288
mango766,G1,0.002382,0.0,0.0,0.0,0.000656
maplenote,G1,0.0,0.000476,0.0,0.5,0.000288
mapstack-chris,G1,0.0,0.000476,0.0,0.3,0.000288
marcindulak,G1,0.0,0.000476,0.0,0.3,0.000288
marcofrancis,G1,0.0,0.000476,0.0,0.5,0.000288
marcusburghardt,G1,0.000953,0.0,0.0,0.0,0.000295
marcusgoll,G1,0.0,0.0,0.0,0.0,0.000288
mariozig,G1,0.0,0.000476,0.0,0.333333,0.000288
markuswondrak,G1,0.001429,0.000476,0.0,0.333333,0.000379
maru0914,G1,0.0,0.0,0.0,0.0,0.000288
marufsiddique01,G1,0.0,0.000476,0.0,0.5,0.000288
marvin-hansen,G1,0.000476,0.000953,0.0,0.092369,0.000289
massimogentilini,G1,0.001429,0.000476,4e-06,0.5,0.000888
masters3d,G1,0.000476,0.0,0.0,0.0,0.000742
matbeedotcom,G1,0.0,0.0,0.0,0.0,0.000288
mathiasdotdev,G1,0.000476,0.0,0.0,0.0,0.0003
mattbrailsford,G1,0.0,0.000476,0.0,0.333333,0.000288
matthew-a-gordon,G1,0.0,0.000476,0.0,0.108173,0.000288
matthew-a-t,G1,0.0,0.0,0.0,0.0,0.000288
mattiasthalen,G1,0.002382,0.0,0.0,0.0,0.002019
maximeb-croesus,G1,0.0,0.000476,0.0,0.5,0.000288
maximiliamus,G1,0.000953,0.0,0.0,0.0,0.000295
maxiride,G1,0.001429,0.0,0.0,0.0,0.00055
maxiwu,G1,0.000476,0.000476,0.0,0.5,0.000533
maxliaops,G1,0.0,0.000476,0.0,0.5,0.000288
maxmeyer3141,G1,0.0,0.000953,0.0,0.5,0.000288
maxxrdrgz,G1,0.0,0.000476,0.0,0.090551,0.000288
mbachorik,G1,0.002382,0.003335,0.001704,0.18227,0.00106
mbarbieri77,G1,0.0,0.000476,0.0,0.5,0.000288
mbeacom,G1,0.004288,0.000476,2e-06,0.5,0.001594
mcampbell,G1,0.000953,0.000953,1.2e-05,0.375,0.000538
mcasalaina,G1,0.000953,0.0,0.0,0.0,0.000545
mdcc7844-art,G1,0.0,0.000953,0.0,0.285714,0.000288
mdcleber,G1,0.0,0.000476,0.0,0.5,0.000288
medhatgalal,G1,0.000953,0.0,0.0,0.0,0.000295
mengguiyouziyi,G1,0.000953,0.0,0.0,0.0,0.001274
mfeeney,G1,0.001429,0.0,0.0,0.0,0.000657
mfsbo,G1,0.0,0.000476,0.0,0.211514,0.000288
mgscox,G1,0.002382,0.000476,3e-06,0.3,0.001147
mhagrelius,G1,0.000953,0.0,0.0,0.0,0.000338
mhattingpete,G1,0.0,0.000476,0.0,0.5,0.000288
micahgodbolt,G1,0.002859,0.0,0.0,0.0,0.001945
michael-jennings,G1,0.0,0.000476,0.0,0.5,0.000288
michaelerobertsjr,G1,0.0,0.000476,0.0,0.091837,0.000288
michaelgodshall,G1,0.0,0.000476,0.0,0.5,0.000288
michaelkoss,G1,0.0,0.000476,0.0,0.5,0.000288
michelegirini,G1,0.0,0.000476,0.0,0.5,0.000288
mifas,G1,0.000476,0.0,0.0,0.0,0.000289
migodev42,G1,0.000476,0.0,0.0,0.0,0.000533
mikevb3,G1,0.0,0.000476,0.0,0.5,0.000288
miklschmidt,G1,0.0,0.000953,0.0,0.5,0.000288
mikqi,G1,0.000476,0.0,0.0,0.0,0.0003
mindblowngaming,G1,0.000476,0.0,0.0,0.0,0.0003
mingcao-dev,G1,0.0,0.0,0.0,0.0,0.000288
minhducdang,G1,0.000953,0.0,0.0,0.0,0.000444
mischadiehm,G1,0.0,0.0,0.0,0.0,0.000288
miszczu-drako,G1,0.0,0.000476,0.0,0.5,0.000288
mitchell-wallace,G1,0.0,0.000476,0.0,0.5,0.000288
mitchstapleton,G1,0.0,0.000476,0.0,0.5,0.000288
mitselek,G1,0.000476,0.0,0.0,0.0,0.000289
mjesuele,G1,0.0,0.000476,0.0,0.5,0.000288
mjonjones-veygo,G1,0.0,0.000476,0.0,0.5,0.000288
mjoyce91,G1,0.000476,0.0,0.0,0.0,0.000289
mjunaidca,G1,0.000476,0.0,0.0,0.0,0.000291
mkellerman,G1,0.002382,0.000953,9e-06,0.5,0.001497
mkremnev,G1,0.000476,0.0,0.0,0.0,0.000293
mlaass,G1,0.000953,0.000476,1e-06,0.5,0.000534
mmcguff,G1,0.000476,0.000476,0.0,0.5,0.0003
mnriem,G1,0.005717,0.163888,0.003964,0.235788,0.001714
mofsesam,G1,0.002382,0.0,0.0,0.0,0.001078
mohammadkhanTEKenable,G1,0.0,0.000476,0.0,0.333333,0.000288
mohammed-mksk,G1,0.0,0.000476,0.0,0.5,0.000288
mohseenjamall,G1,0.001429,0.0,0.0,0.0,0.000384
moneymikeMD,G1,0.0,0.0,0.0,0.0,0.000288
moogsG,G1,0.000476,0.0,0.0,0.0,0.000291
morganhein,G1,0.0,0.000476,0.0,0.5,0.000288
morookidd,G1,0.0,0.000476,0.0,0.5,0.000288
morpheus9393,G1,0.0,0.000476,0.0,0.333333,0.000288
mosherbrian,G1,0.0,0.000476,0.0,0.333333,0.000288
mpapadopoullos,G1,0.002382,0.0,0.0,0.0,0.000627
mpasumarthi,G1,0.0,0.000476,0.0,0.5,0.000288
mplevine,G1,0.0,0.000476,0.0,0.5,0.000288
mrGreazly,G1,0.000953,0.0,0.0,0.0,0.000295
mrKlar,G1,0.000476,0.0,0.0,0.0,0.000289
mredodos,G1,0.000476,0.0,0.0,0.0,0.000293
mrge-org,G1,0.0,0.000476,0.0,0.333333,0.000288
mrhoffmann,G1,0.0,0.000476,0.0,0.5,0.000288
mrksph,G1,0.0,0.000953,0.0,0.5,0.000288
msaavedra-sw,G1,0.0,0.000476,0.0,0.5,0.000288
msalahz,G1,0.0,0.000476,0.0,0.5,0.000288
mseep-ai,G1,0.0,0.0,0.0,0.0,0.000288
msigmond,G1,0.0,0.000476,0.0,0.5,0.000288
msullivanhdt,G1,0.0,0.000476,0.0,0.333333,0.000288
mubiesam,G1,0.000476,0.0,0.0,0.0,0.000289
murphyXu,G1,0.0,0.000476,0.0,0.090551,0.000288
muxfe,G1,0.0,0.0,0.0,0.0,0.000288
mvanhorn,G1,0.000953,0.000953,1e-06,0.5,0.000295
mykola-mmm,G1,0.0,0.000476,0.0,0.5,0.000288
mykolaveremeichyk,G1,0.0,0.000476,0.0,0.5,0.000288
myself659,G1,0.0,0.000476,0.0,0.5,0.000288
mzsoliman,G1,0.000953,0.0,0.0,0.0,0.000545
n-wen,G1,0.0,0.000476,0.0,0.5,0.000288
n0cloud,G1,0.000476,0.0,0.0,0.0,0.0003
n3d4ti,G1,0.000476,0.0,0.0,0.0,0.000291
nShieldSolo,G1,0.000476,0.0,0.0,0.0,0.000291
nacho4d,G1,0.001429,0.0,0.0,0.0,0.000377
nagoodman,G1,0.0,0.000476,0.0,0.108173,0.000288
nalbion,G1,0.000476,0.0,0.0,0.0,0.000289
nalthoff,G1,0.000476,0.0,0.0,0.0,0.000291
nancy-360watts,G1,0.0,0.000476,0.0,0.5,0.000288
narze,G1,0.0,0.000476,0.0,0.107981,0.000288
natelastname,G1,0.001429,0.0,0.0,0.0,0.00054
navid1111,G1,0.000476,0.0,0.0,0.0,0.000289
nbourdeau,G1,0.000476,0.0,0.0,0.0,0.000291
ndcollins,G1,0.000476,0.000476,0.0,0.5,0.0003
ndreisg,G1,0.0,0.000476,0.0,0.5,0.000288
ndrluis,G1,0.0,0.000476,0.0,0.5,0.000288
nds15763,G1,0.0,0.000476,0.0,0.230769,0.000288
neelneelpurk,G1,0.000953,0.0,0.0,0.0,0.000295
neerazz,G1,0.0,0.0,0.0,0.0,0.000288
neilfitzgerald1972,G1,0.001906,0.0,0.0,0.0,0.001009
netsi1964,G1,0.0,0.0,0.0,0.0,0.000288
newmind,G1,0.000476,0.0,0.0,0.0,0.0003
nhocconan,G1,0.0,0.000476,0.0,0.5,0.000288
nic0michael,G1,0.000476,0.0,0.0,0.0,0.000289
nicky-tseng,G1,0.000476,0.0,0.0,0.0,0.000293
nicoasdd,G1,0.0,0.000476,0.0,0.5,0.000288
nicolasstelter,G1,0.001429,0.0,0.0,0.0,0.000493
nigel-upstart,G1,0.000476,0.0,0.0,0.0,0.000289
nike-17,G1,0.0,0.0,0.0,0.0,0.000288
niklas-wortmann,G1,0.000476,0.0,0.0,0.0,0.0003
niklasschaeffer,G1,0.0,0.000476,0.0,0.5,0.000288
nikoladjuran,G1,0.000476,0.0,0.0,0.0,0.000289
niksacdev,G1,0.002382,0.0,0.0,0.0,0.000853
nipunarora,G1,0.0,0.000476,0.0,0.127841,0.000288
niranjan747,G1,0.000476,0.0,0.0,0.0,0.000289
nitesh-snap,G1,0.000476,0.0,0.0,0.0,0.000293
nitish-raj,G1,0.0,0.000476,0.0,0.5,0.000288
nmhjklnm,G1,0.0,0.000476,0.0,0.5,0.000288
nnWhisperer,G1,0.0,0.000476,0.0,0.5,0.000288
nnworkspace,G1,0.000476,0.0,0.0,0.0,0.0003
noahxp,G1,0.0,0.000953,0.0,0.5,0.000288
nomagicln,G1,0.0,0.000476,0.0,0.272727,0.000288
noppGithub,G1,0.000476,0.0,0.0,0.0,0.0003
norbu09,G1,0.0,0.000476,0.0,0.5,0.000288
nord73,G1,0.000953,0.001906,0.000121,0.3,0.000829
norm2782,G1,0.000953,0.0,0.0,0.0,0.000382
northline-lab,G1,0.0,0.0,0.0,0.0,0.000288
nouatzi,G1,0.0,0.000953,0.0,0.5,0.000288
np-yoe,G1,0.0,0.0,0.0,0.0,0.000288
npupko,G1,0.0,0.000476,0.0,0.5,0.000288
nsierraj,G1,0.001429,0.0,0.0,0.0,0.000779
nunquen,G1,0.0,0.0,0.0,0.0,0.000288
nurasul,G1,0.0,0.0,0.0,0.0,0.000288
nwalke,G1,0.0,0.000476,0.0,0.333333,0.000288
oat-mirror,G1,0.0,0.000476,0.0,0.5,0.000288
oatn,G1,0.0,0.000476,0.0,0.5,0.000288
oblqd,G1,0.001429,0.0,0.0,0.0,0.000779
obr25,G1,0.0,0.000476,0.0,0.087302,0.000288
octyai,G1,0.000476,0.0,0.0,0.0,0.000291
odinr,G1,0.000476,0.0,0.0,0.0,0.0003
odysseyalive,G1,0.000476,0.0,0.0,0.0,0.000289
offendingcommit,G1,0.0,0.001429,0.0,0.357143,0.000288
officialasishkumar,G1,0.001429,0.0,0.0,0.0,0.000544
ohlookitshazy,G1,0.0,0.000476,0.0,0.5,0.000288
oizidbih,G1,0.0,0.000476,0.0,0.194444,0.000288
ojalberts-itc,G1,0.0,0.000476,0.0,0.5,0.000288
omartood,G1,0.000476,0.0,0.0,0.0,0.0003
omgbwa-yasse,G1,0.000953,0.0,0.0,0.0,0.000295
onarres,G1,0.0,0.000476,0.0,0.5,0.000288
ondrovic,G1,0.000953,0.0,0.0,0.0,0.000589
one-kash,G1,0.000953,0.0,0.0,0.0,0.000295
one-sword,G1,0.0,0.000476,0.0,0.3,0.000288
onlinelernecke,G1,0.000476,0.000476,0.0,0.5,0.000289
ooptsd,G1,0.0,0.0,0.0,0.0,0.000288
oovz,G1,0.000476,0.0,0.0,0.0,0.000289
orbisai0security,G1,0.000953,0.0,0.0,0.0,0.000295
orenmizr,G1,0.000476,0.0,0.0,0.0,0.0003
outp1,G1,0.000953,0.007623,6.6e-05,0.158333,0.000301
overclokk,G1,0.0,0.000476,0.0,0.5,0.000288
ozdennis,G1,0.0,0.000476,0.0,0.5,0.000288
p1779k,G1,0.0,0.0,0.0,0.0,0.000288
p2arthur,G1,0.0,0.000953,0.0,0.12231,0.000288
paburgos,G1,0.000476,0.0,0.0,0.0,0.0003
panboo0106,G1,0.0,0.000476,0.0,0.5,0.000288
pankaj-modi18,G1,0.000953,0.0,0.0,0.0,0.000295
paperbenni,G1,0.002382,0.0,0.0,0.0,0.001036
parchix,G1,0.0,0.000476,0.0,0.5,0.000288
pascalandy,G1,0.0,0.000476,0.0,0.5,0.000288
passionworkeer,G1,0.0,0.000476,0.0,0.121563,0.000288
pathanaawej0-dot,G1,0.000953,0.0,0.0,0.0,0.000538
paullen,G1,0.0,0.0,0.0,0.0,0.000288
paulthanson082-glitch,G1,0.000953,0.0,0.0,0.0,0.000295
pc-chen-tw,G1,0.0,0.0,0.0,0.0,0.000288
pchemguy,G1,0.000953,0.0,0.0,0.0,0.000295
pdemro,G1,0.000953,0.0,0.0,0.0,0.001044
pdfowler,G1,0.000476,0.000476,4e-06,0.5,0.000293
pedropalb,G1,0.000953,0.0,0.0,0.0,0.000295
penetest,G1,0.000476,0.0,0.0,0.0,0.000289
petebytes,G1,0.001429,0.0,0.0,0.0,0.000304
peterHoburg,G1,0.007623,0.002859,0.000537,0.134969,0.006695
peterhora,G1,0.000476,0.0,0.0,0.0,0.000289
peterson-umoke,G1,0.002382,0.0,0.0,0.0,0.001111
pevyhlas,G1,0.000476,0.0,0.0,0.0,0.000407
pf-njones,G1,0.0,0.000476,0.0,0.5,0.000288
pfjia,G1,0.002859,0.0,0.0,0.0,0.001122
pgoslatara,G1,0.0,0.0,0.0,0.0,0.000288
pham-code,G1,0.0,0.0,0.0,0.0,0.000288
phantom-suzuki,G1,0.0,0.0,0.0,0.0,0.000288
phebing,G1,0.0,0.000476,0.0,0.333333,0.000288
philippfrenzel,G1,0.0,0.000476,0.0,0.5,0.000288
phoenixgao,G1,0.0,0.000476,0.0,0.5,0.000288
picklebento,G1,0.000953,0.0,0.0,0.0,0.000295
pierluigilenoci,G1,0.001429,0.0,0.0,0.0,0.000327
pietrobr,G1,0.000953,0.0,0.0,0.0,0.000538
pilosoposerio,G1,0.0,0.000476,0.0,0.333333,0.000288
pineappleboss,G1,0.0,0.000476,0.0,0.142029,0.000288
pixie79,G1,0.0,0.000953,0.0,0.5,0.000288
pizzooid,G1,0.0,0.000476,0.0,0.333333,0.000288
pjbrzozowski,G1,0.0,0.000476,0.0,0.5,0.000288
pjkober,G1,0.0,0.000476,0.0,0.5,0.000288
pks1989,G1,0.000476,0.0,0.0,0.0,0.000289
pluo,G1,0.0,0.0,0.0,0.0,0.000288
plutch,G1,0.0,0.0,0.0,0.0,0.000288
poelzi,G1,0.0,0.000476,0.0,0.146341,0.000288
polmichel,G1,0.000476,0.0,0.0,0.0,0.000293
polo871209,G1,0.0,0.000476,0.0,0.181818,0.000288
pradeepmouli,G1,0.000953,0.0,0.0,0.0,0.000421
pragya247,G1,0.000953,0.0,0.0,0.0,0.000295
pranaypaine,G1,0.0,0.0,0.0,0.0,0.000288
prantikmedhi,G1,0.000953,0.0,0.0,0.0,0.000295
preigile,G1,0.000953,0.0,0.0,0.0,0.000295
przadka,G1,0.000476,0.0,0.0,0.0,0.00037
psanderson-da,G1,0.0,0.000476,0.0,0.5,0.000288
psmman,G1,0.001429,0.0,0.0,0.0,0.000546
pssah4,G1,0.001429,0.0,0.0,0.0,0.000657
puneetdixit200,G1,0.000953,0.0,0.0,0.0,0.000295
punkouter26,G1,0.000476,0.000953,0.0,0.5,0.000289
pvgueiros,G1,0.000953,0.0,0.0,0.0,0.000371
pyanagiya,G1,0.0,0.0,0.0,0.0,0.000288
pythoninthegrass,G1,0.000476,0.0,0.0,0.0,0.000289
pzep1,G1,0.001429,0.0,0.0,0.0,0.00034
qduc,G1,0.001429,0.0,0.0,0.0,0.001024
qianmoqiuhan,G1,0.001906,0.0,0.0,0.0,0.001621
qinyudong89,G1,0.0,0.000476,0.0,0.5,0.000288
qizong007,G1,0.0,0.000476,0.0,0.5,0.000288
quantuminformation,G1,0.0,0.000476,0.0,0.5,0.000288
quasi,G1,0.001906,0.0,0.0,0.0,0.000538
quentinbadoud,G1,0.0,0.000476,0.0,0.5,0.000288
r-a-f-a,G1,0.000476,0.0,0.0,0.0,0.000293
r1cA18,G1,0.000476,0.0,0.0,0.0,0.000291
rHedBull,G1,0.000476,0.0,0.0,0.0,0.000291
raccioly,G1,0.000953,0.0,0.0,0.0,0.000295
radekg,G1,0.000953,0.0,0.0,0.0,0.000555
radvista,G1,0.0,0.000476,0.0,0.5,0.000288
raedkit,G1,0.001906,0.000476,7e-06,0.5,0.009792
rahul-reveation,G1,0.0,0.000476,0.0,0.5,0.000288
ralphhanna,G1,0.000476,0.0,0.0,0.0,0.000293
ramneekhanda,G1,0.0,0.000476,0.0,0.5,0.000288
ramonduraes,G1,0.000953,0.0,0.0,0.0,0.000374
ramusbucket,G1,0.000953,0.002382,1.1e-05,0.5,0.000545
raneyeden,G1,0.0,0.000476,0.0,0.5,0.000288
ranqiangjun,G1,0.001429,0.0,0.0,0.0,0.00032
ranshalit,G1,0.0,0.000476,0.0,0.5,0.000288
raspy8766,G1,0.0,0.000953,0.0,0.5,0.000288
rasyidrafi,G1,0.0,0.000476,0.0,0.5,0.000288
ratio-x,G1,0.0,0.000476,0.0,0.127841,0.000288
raulduk3,G1,0.0,0.000953,0.0,0.5,0.000288
raviraghu,G1,0.002382,0.0,0.0,0.0,0.001326
ravivermarvr2068-sketch,G1,0.0,0.0,0.0,0.0,0.000288
raye-deng,G1,0.0,0.000476,0.0,0.5,0.000288
rbergman,G1,0.0,0.000476,0.0,0.5,0.000288
rchindris,G1,0.0,0.0,0.0,0.0,0.000288
rcollette,G1,0.000953,0.003335,2.7e-05,0.106975,0.000903
realduolaf,G1,0.001429,0.0,0.0,0.0,0.000864
rebelll-che,G1,0.000476,0.0,0.0,0.0,0.000293
reesechou2014,G1,0.0,0.000476,0.0,0.5,0.000288
removecode,G1,0.0,0.000476,0.0,0.5,0.000288
rexleimo,G1,0.000476,0.0,0.0,0.0,0.000293
rghamilton3,G1,0.0,0.0,0.0,0.0,0.000288
rh1ppo,G1,0.000476,0.0,0.0,0.0,0.000533
rhokstar,G1,0.0,0.000476,0.0,0.3,0.000288
rhuss,G1,0.000953,0.0,0.0,0.0,0.000295
ricalanis,G1,0.0,0.000476,0.0,0.5,0.000288
ricardojmendez,G1,0.002382,0.0,0.0,0.0,0.000702
richgo,G1,0.000953,0.0,0.0,0.0,0.000349
richlysakowski,G1,0.000476,0.0,0.0,0.0,0.000291
richzhu369,G1,0.000953,0.0,0.0,0.0,0.000615
rickysullivan-gallagher,G1,0.0,0.000476,0.0,0.5,0.000288
riggy2013,G1,0.0,0.000476,0.0,0.333333,0.000288
rinarakaki,G1,0.000476,0.0,0.0,0.0,0.000289
ririnto,G1,0.002382,0.0,0.0,0.0,0.001277
riya-amemiya,G1,0.000476,0.0,0.0,0.0,0.001442
rj-wangbin6,G1,0.000476,0.000476,1e-06,0.119266,0.000291
rjthomas013,G1,0.0,0.0,0.0,0.0,0.000288
rkaramc,G1,0.000476,0.0,0.0,0.0,0.000289
rla-cf,G1,0.0,0.000476,0.0,0.5,0.000288
rlempa,G1,0.0,0.000476,0.0,0.5,0.000288
rmdowney,G1,0.0,0.000476,0.0,0.5,0.000288
rnagrodzkicl,G1,0.0,0.000476,0.0,0.5,0.000288
rob-mur,G1,0.0,0.000476,0.0,0.5,0.000288
robertDouglass,G1,0.000476,0.000953,0.0,0.5,0.000289
robertfeldt,G1,0.003335,0.0,0.0,0.0,0.001477
robin0822,G1,0.0,0.000476,0.0,0.149425,0.000288
robshapiro,G1,0.002859,0.0,0.0,0.0,0.001392
rochecompaan,G1,0.0,0.000953,0.0,0.138298,0.000288
rodrigo-ferreira-caf,G1,0.0,0.0,0.0,0.0,0.000288
roee-hersh,G1,0.000476,0.000476,0.0,0.5,0.00037
rogadev,G1,0.000953,0.000476,0.0,0.5,0.000371
rohitsoni007,G1,0.006193,0.000476,0.000123,0.108173,0.003078
romanzarkhin,G1,0.000476,0.0,0.0,0.0,0.000289
rootbdfy,G1,0.0,0.000476,0.0,0.5,0.000288
roperi,G1,0.000953,0.001906,3e-06,0.318182,0.000779
rosmur,G1,0.000953,0.0,0.0,0.0,0.00159
rothcold,G1,0.0,0.0,0.0,0.0,0.000288
rottingcorpse,G1,0.002859,0.0,0.0,0.0,0.003287
